system:index,date,.geo
204,1998-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,1998-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,1998-08-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,1998-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,1998-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,1998-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,1999-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,1999-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,1999-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,1999-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,1999-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,1999-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,1999-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2000-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2000-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2000-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2000-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2000-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2000-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2000-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2000-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2000-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2000-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2000-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2000-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2000-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2000-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2000-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2000-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2000-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2000-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2000-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2000-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2001-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2001-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2001-02-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2001-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2001-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2001-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2001-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2001-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2001-04-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2001-04-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2001-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2001-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2001-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2001-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2001-06-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2001-07-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2001-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2001-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2001-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2001-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2001-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2001-11-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2001-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2001-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2002-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2002-01-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2002-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2002-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2002-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2002-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2002-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2002-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2002-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2002-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2002-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2002-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2002-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2002-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2003-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2003-06-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2003-07-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2003-07-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2003-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2003-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2003-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2003-09-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2003-10-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2003-10-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2003-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2003-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2003-12-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2004-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2004-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2004-02-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2004-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2004-02-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2004-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2004-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,2004-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,2004-04-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,2004-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,2004-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,2004-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,2004-06-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,2004-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,2004-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,2004-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,2004-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,2004-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,2004-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,2004-10-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,2004-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,2004-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,2004-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,2004-11-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
312,2005-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
313,2005-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,2005-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
315,2005-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,2005-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
317,2005-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
318,2005-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
319,2005-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
320,2005-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
321,2005-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
322,2005-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
323,2005-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
324,2005-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
325,2005-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
326,2005-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
327,2005-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
328,2005-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
329,2005-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
330,2005-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
331,2006-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
332,2006-02-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
333,2006-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
334,2006-04-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
335,2006-04-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
336,2006-04-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
337,2006-05-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
338,2006-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
339,2006-06-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
340,2006-07-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
341,2006-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
342,2006-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
343,2006-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
344,2006-10-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
345,2006-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
346,2006-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
347,2006-12-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
348,2006-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
349,2006-12-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
350,2007-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
351,2007-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
352,2007-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
353,2007-02-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
354,2007-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
355,2007-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
356,2007-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
357,2007-04-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
358,2007-04-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
359,2007-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
360,2007-06-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
361,2007-06-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
362,2007-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
363,2007-07-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
364,2007-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
365,2007-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
366,2007-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
367,2007-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
368,2007-08-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
369,2007-09-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
370,2007-09-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
371,2007-09-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
372,2008-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
373,2008-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
374,2008-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
375,2008-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
376,2008-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
377,2008-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
378,2008-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
379,2008-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
380,2008-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
381,2008-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
382,2008-09-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
383,2008-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
384,2008-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
385,2008-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
386,2008-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
